application_type,applications,with_conditions,refused
"Category K Pre-Application Query",1,0,0
"Cert of Lawfulness Existing Use",1,0,0
"Certificate of Lawful Use - Existing",1,0,0
"Certificate of Lawful Use - Proposed",1,0,0
"Certificate of Lawfulness LB",1,0,0
"Channel Tunnel Rail Link Act 1996",1,0,0
"Class A HH - Prior Approval",1,0,0
"Concept Meeting Major",1,0,0
Condition,1,0,0
"Condition Approval",1,0,0
"Condition Clearing",1,0,0
"Council's Own Development - Reg. 3",1,0,0
"Covid 19-Temporary operating hours",1,0,1
"Demolition of a Listed Building",1,1,0
"Detailed App + Environmental Statement",1,1,0
"Discharge of Conditions confirmation",1,0,0
"Dishcarge of Section 106 Conditions",1,0,0
"EIA Scoping",1,0,0
"EIA Scoping Opinion",1,0,0
"EIA screening opinion",1,0,0
"Electricity Undertaking",1,1,0
"Enforcement Notice Quashed",1,0,0
Fell,1,0,0
"Finally Disposed Of",1,0,0
"Flats on detached houses",1,0,1
"Flats on terraced comm/mixed use bldgs",1,0,0
"Full Application - Reg 3",1,1,0
"Full Application for Council's Own Dev.",1,0,0
"GPD P1AA D'house additional storeys",1,0,1
"GPD P20AA D'houses detached commercial",1,0,1
"GPD P20ZA Demolition and new d'houses",1,0,1
"GPD P3B - A4 A5 to A3",1,0,0
"GPD P3G - A1 A2 Bet Loan to Plus 2 Flats",1,0,1
"GPD P3M-Lndy Bet Loan T'away Mixed to C3",1,0,0
"GPDO - Class A",1,,
"General Permitted Development Order",1,0,0
"HS2 approval request",1,0,0
"Informal S106",1,0,0
"LB Hackney Consultation",1,0,0
"LB Newham Consultation",1,0,0
"LB Tower Hamlets Consultation",1,0,0
"LBE - Dev by LA",1,0,0
"LDC (Proposed) Operations coloured",1,0,0
"LDC (Proposed) Operations hatched",1,0,0
"Lawful development certificate Proposed use",1,0,1
"Local Development Order",1,0,0
"Major General industry / storage / warehousing",1,0,0
"Major Reserved Matters Application",1,0,0
"Major outline",1,0,0
"Minor - Retail distribution and servicing",1,0,1
NMA,1,0,0
"Non Material Amendment 18",1,0,0
"Non Material Amendments 6",1,0,1
"Non Material Amendments 7",1,0,0
"Non Material Amendments 8",1,0,1
"Non Material Amendments 9",1,0,1
"Non Telecom GPDO PD consultation",1,0,0
"Non-Material Amendment Reg 3",1,0,0
"Non-Material Amendment Reg3",1,0,0
"OPDC Certificate of Lawfulness Existing",1,0,0
"Other London Borough Consultation",1,0,0
P1A,1,0,0
"PA - A1 - A5 (Sui Generis) to Cafe (Class A3)",1,0,0
"PA - Office to Dwelling House",1,0,0
"PA - Retail/Betting/P.day Loan to Ass & Leisure",1,0,0
"PA - Specified Sui Generis to Dwelling House",1,,
"PA Agricultural Extension/New Build",1,0,0
"PA COU Agri to Flex Use B2/8 C1, E,F2(C)",1,0,1
"PA Enlarge DH by Const of Add Stor",1,0,1
"PA Householder Upper Extension",1,0,0
"PA Light Industrial to Residential",1,0,0
"PA New Dwell houses on D/B Flats",1,0,0
"PA Photovoltaic Equipment",1,0,0
"PA Telecommunications",1,0,0
"PA: New Flats on top of detached Commercial Buildings",1,0,0
"PA: New Flats on top of detached block of Flats",1,0,0
"PA: Takeaway/Sui Generis/Mixed Use to Dwellinghouses",1,0,0
PAG,1,0,0
"PO-Outline Application",1,0,0
"Permission In Principle",1,0,0
"Permission in Principle Technical Details",1,1,0
"Pre application",1,0,1
"Prior Agricultural Approval (All Types)",1,,
"Prior App Agricultural to Flexible use",1,0,1
"Prior Approval (Class E, Betting Shop, Pay Day Loan To Mixed Use Inc Residential)",1,0,0
"Prior Approval (School)",1,0,0
"Prior Approval - Assembly/leisure",1,0,0
"Prior Approval - Change of use from Commercial, Business and Service/Hotels/Residential Institutions/Assembly and Leisure to State-Funded School/Nursery",1,0,1
"Prior Approval - Collection Facility within the Curtilage of a Shop",1,0,1
"Prior Approval - Commercial/Business/Service/Betting/Pay day Loan to up to 2 Flats",1,0,0
"Prior Approval - Erection, Extension or Alteration of a Building for Agricultural or Forestry use",1,0,1
"Prior Approval - Industrial & General Business Conversions",1,0,1
"Prior Approval - New dwellinghouses on detached blocks of flats",1,0,1
"Prior Approval - New dwellinghouses on terrace buildings in commercial or mixed use",1,0,1
"Prior Approval - New dwellinghouses on terrace buildings in use as dwellinghouses",1,0,1
"Prior Approval - Restaurant/Cafe/Takeaway/Pub to Retail",1,0,1
"Prior Approval - Retail/Betting/Pay day Loan to Assembly & Leisure",1,0,1
"Prior Approval - Shops/Financial & Professional/Betting/Pay day Loan/Launderette/hot food takeaway to Office",1,0,1
"Prior Approval - Takeaway/Pub to Restaurant/Cafe",1,0,1
"Prior Approval A - GPDO Part 20 -56 Days",1,0,0
"Prior Approval Additional storeys on a Dwellinghouse",1,0,1
"Prior Approval Class E to Mixed Com/Res",1,0,0
"Prior Approval Class JA - A1, A2, A5 etc to B1(a)",1,0,0
"Prior Approval Collection Facility within the Curtilage of a Shop",1,0,0
"Prior Approval Commercial to Residential",1,0,0
"Prior Approval Offices to Dwellings(OTR)",1,0,0
"Prior Approval Part 15 Class B",1,0,0
"Prior Approval Part 16 Condition A3",1,0,0
"Prior Approval Retail To D2",1,0,0
"Prior Approval School, Hospitals, Prisons Pt 7 Class M",1,0,0
"Prior Approval of details under Part 15 Class B",1,0,0
"Prior Approval: Change of use - retail to assembly/leisure",1,0,0
"Prior Approval: Temporary use for commercial film-making",1,0,0
"Prior Appvl - Class AA upto 2 storeys",1,0,1
"Prior Appvl - up to two storeys flats",1,0,1
"Prior Notification (School)",1,0,0
"Prior Notification (Telecommunication)",1,0,1
"Prior Notification - Commercial",1,,
"Prior approval GPDO 2 Part 20 Class ZA",1,0,1
"Prior approval Part 3 Class Q: Agricultural buildings to dwellinghouses",1,0,1
"Prior approval Part 3 Class R: Agricultural buildings to a flexible commercial use",1,0,0
"Prior notification for demolition under GPDO",1,0,0
"Rail Permitted Development",1,0,0
"Reg 77 Notification",1,0,0
"Renewal of Extant Planning Permission",1,1,0
"Reserved Matters DD Submission 12",1,0,0
"Reserved Matters DD Submission 13",1,0,0
"Reserved Matters DD Submission 6",1,0,0
"Reserved Matters DD Submission 7",1,0,0
"Reserved Matters DD Submission 9",1,0,0
"Restrnts/Cafés/Takeaways/Pubs to Retail",1,0,0
"Retail/ Bet/Loanshop to to Restrnt/Caf",1,0,0
"S.106 Relaxation",1,0,0
SCR,1,0,0
"Scoping Opinion- Env Impact Assessment",1,1,0
"Screening Opinion- Env Impact Assessment",1,1,0
"Section 106 Details",1,0,0
"Section 316 Planning Permission",1,0,0
"Solar Equipment On Non-Domestic Premises",1,0,0
"Technical Details for PIP",1,0,0
"Telecom Development (free-standing)",1,0,0
"Telecoms Application Prior Approval",1,0,0
"Temporary Change of Use",1,0,0
"Thames Tideway Tunnel",1,0,0
"Trees: Notices of Intent",1,0,0
"Variation / Removal of condition - Minor office / R&D / light industrial",1,0,0
"Variation to S106",1,0,0
"Variation to S106 Legal Agreement",1,0,0
"Vary or Delete Conditions LBC",1,0,0
"Voided - Incorrectly Entered Application",1,0,0
"temporarily extend construction hours",1,0,0
