application_type,applications,with_conditions,refused
"Approval of Details Reserved by Condition",111,4,7
"Reserved Matters (following outline)",111,72,0
"Commercial to Residential Prior Approval",109,0,52
"Lawful Development Certificate (Existing Use)",108,0,41
"Prior Notification (Class E to Resi)",106,1,31
"Certificate of Lawful Development Existing/Proposed",104,0,13
"Prior Approval - Retail to Residential",99,0,58
"Prior approval P3MA",99,0,43
"Listed Building Consent / Demolition",97,67,13
"Non-material amendment",97,0,17
"Certificate of Lawfulness proposed",95,0,24
"Variation/discharge of Legal Agreement",95,0,2
"Retail Prior Approval",94,0,48
"Prior Approval Shop to Residential",92,0,28
"Section 73 - Minor",91,67,15
"Adjoining Local Authority Consultation",89,71,0
"Lawful Development Certificate- Existing",89,0,4
"Prior approval Part 1 Class A.1(ea): Larger home extension",89,0,13
"Delegated to Brent",88,0,0
"Non-Material Minor Amendment to an existing Planning Application",88,0,11
"S73 - Removal/Variation of Condition(s)",86,52,12
"Approval of Reserved Matters",83,1,1
"Section 106 Agreement",83,0,3
"GPD P3MA - E to C3",82,0,26
"Variation to Section 106 Agreement",82,0,2
"Reserved Matters Application",81,35,1
"Alter or Extend a Listed Building",79,58,7
"Request for observations",77,0,3
"All other prior approval applications",76,0,17
"Cert. of Lawful Use/Dev - PROPOSED",76,0,3
"Prior Approval (Office to Residential)",76,28,24
"Major Application",75,41,14
"Non-Material Amendment Submission",75,0,5
"Council's Own Application (Reg 3)",74,62,1
"Removal/variation of conditions",74,8,9
"Adjoining Authority",72,0,0
"Certificate of Existing Use",72,0,9
"Non-Material Amendment (Section 96A applications)",71,0,1
"Prior Approval (Shop to Residential)",71,21,41
"Section 191 Cert Existing Lawful Use/Dev",71,0,11
"Householder - Fast Track",70,0,6
"Prior Approval - Change of use from Commercial, Business and Service to Dwellinghouses",67,0,39
"PA Retail/SG to Residential",66,0,18
"Approval of Details - Article 30 DMPO",65,0,0
"Retail/Betting/Payday Loan to C3",63,0,34
"Full Planning Approval",62,0,0
"PA Class E to Dwelling",62,0,20
